,,,,,,,Menu Listing,,,
,,,,,,,Nandos (Salwa Road),,,
Date/time:,,,,,,19/01/2023 11:40,,,,
Report filter:,,,,,,"Fields to display is Item Number ,Description , Price 1",,,,
,,,272,Mediterranean Salad,24,,,,,
,,,273,Caesar Salad,29,,,,,
,,,274,Algarve Salad,29,,,,,
,,,275,Portu Salad w Chk,36,,,,,
,,,276,Med Salad w Chk,38,,,,,
,,,277,Caesar Salad w/ Chk,43,,,,,
,,,278,Algarve Salad w/ Chk,43,,,,,
,,,279,Quinoa Salad,39,,,,,
,,,280,Quinoa Salad w/ Chk,53,,,,,
,,,281,Mediterranean Salad,25,,,,,
,Page,,,,,,,,,
,DESSERTS,,,,,,,,,
,,,Item,,Price,,,,,
,,,Number,Description,1,,,,ERP Code,
,,,301,Choc Lvn Spoon Cake,24,,,,,
,,,302,Four High Carrot Cake,24,,,,,
,,,303,Blueb Whte Choco Brulee,24,,,,,
,,,304,Choco Pnut Butter Stack,24,,,,,
,,,305,Oreo Cookie Bash,24,,,,,
,,,306,Ice Cream Choco Sauce,22,,,,,
,,,307,Natas w/ Ice Cream,29,,,,,
,,,308,Lighten Up Choco Cake,24,,,,,
,,,309,Caramel Cheese Cake,24,,,,,
,,,310,Choco Crunch Roll,24,,,,,
,,,311,Lighten Up Choco CMB1,29,,,,,
,,,312,Caramel Cheesecake CMB1,29,,,,,
,,,313,Blueberry Cheesecake CMB1,29,,,,,
,,,314,Lotus Cake CMB1,29,,,,,
,,,315,Lotus Cake,24,,,,,
,,,316,Blueberry Cheesecake,24,,,,,
,,,317,Natas,24,,,,,
,,,318,Peri Brownie,25,,,,,
,,,319,Peri Brownie w/ Ice Cream,29,,,,,
,,,320,Red Velvet,34,,,,,
,,,321,Molten Cake w/ Ice Cream,29,,,,,
,,,322,Molten Cake,24,,,,,
,,,323,New York Style Cheesecake,25,,,,,
,,,324,Red Velvet,29,,,,,
,,,325,Mango Cheesecake,25,,,,,
,,,326,New York Style Cheesecake,27,,,,,
,,,327,Casa Pudding,29,,,,,
,Page,,,,,,,,,
,NANDINOS,,,,,,,,,
,,,Item,,Price,,,,,
,,,Number,Description,1,,,,ERP Code,
Page:,,6,,,,,,,,
,,,331,Chicken Breast Burger,23,,,,,
,,,332,Chicken Wings,23,,,,,
,,,333,Chicken Breast Strips,23,,,,,
,,,334,Chicken Breast Burger,25,,,,,
,,,335,Chicken Wings,25,,,,,
,,,336,Chicken Breast Strips,25,,,,,
,Page,,,,,,,,,
,DRINKS,,,,,,,,,
,,,Item,,Price,,,,,
,,,Number,Description,1,,,,ERP Code,
,,,361,Coke Bottomless,15,,,,,
,,,362,Diet Coke Bottomless,15,,,,,
,,,363,Sprite Bottomless,15,,,,,
,,,364,Fanta Orange Bottomless,15,,,,,
